0.692654	1.017241	588015510343385141	18.323	0.02	16.047	0.004	14.565	0.003	14.044	0.003	13.864	0.004
0.693347	0.996271	588015510343385555	22.752	0.613	22.356	0.145	21.293	0.08	21.09	0.117	21.144	0.444
0.693627	0.999853	588015510343385746	22.202	0.547	23.195	0.432	21.48	0.136	21.302	0.199	21.53	0.857
0.694775	1.020182	588015510343385144	20.638	1.054	20.207	0.258	19.077	0.131	18.551	0.139	18.511	0.506
0.694946	0.971826	588015510343385748	22.563	1.632	25.09	2.913	21.236	0.239	20.612	0.231	20.469	0.782
0.695038	1.021126	588015510343385145	20.058	0.699	21.101	0.664	19.408	0.196	18.383	0.134	19.579	1.539
0.695738	1.016506	588015510343385146	26.185	0.78	24.953	0.826	24.32	0.821	22.184	0.294	23.09	1.012
0.696042	1.027737	588015510343385828	25.933	0.829	24.865	0.68	22.969	0.287	21.93	0.207	21.369	0.442
0.698498	0.970736	588015510343385753	24.545	2.688	22.51	0.245	21.677	0.167	20.805	0.134	20.747	0.479
0.699226	1.046656	588015510343385565	21.996	0.573	21.441	0.118	20.658	0.086	20.035	0.085	20.254	0.373
0.700887	1.010196	588015510343385877	25.47	1.125	24.141	0.498	24.564	0.741	24.626	0.883	20.709	0.25
0.700946	1.037879	588015510343385569	25.284	2.186	22.203	0.174	21.775	0.179	21.555	0.259	20.839	0.487
0.70116	1.022541	588015510343385238	23.005	1.818	20.317	0.084	19.906	0.098	19.829	0.144	21.954	1.98
0.701226	1.02888	588015510343385905	23.972	1.539	23.383	0.358	22.764	0.306	21.837	0.242	21.553	0.624
0.701288	1.023152	588015510343385237	19.617	0.041	17.17	0.005	15.759	0.004	15.289	0.004	15.029	0.005
0.701465	1.041126	588015510343385571	22.906	1.24	21.834	0.167	21.309	0.147	20.572	0.137	19.509	0.19
0.701837	0.993528	588015510343385835	26.311	0.66	23.72	0.385	23.142	0.348	21.981	0.225	20.855	0.302
0.701922	1.003096	588015510343385834	26.071	0.789	24.359	0.613	23.17	0.354	21.397	0.135	20.659	0.258
0.702491	0.983232	588015510343385756	24.079	1.639	22.741	0.203	21.51	0.097	20.975	0.105	20.475	0.247
0.702917	1.033389	588015510343385573	22.539	0.443	22.751	0.149	21.974	0.124	21.454	0.14	21.881	0.649
0.703296	0.972258	588015510343385757	26.213	1.432	23.806	0.891	21.498	0.175	20.415	0.114	19.48	0.184
0.703916	0.97979	588015510343385274	23.121	1.202	20.858	0.056	19.326	0.023	18.779	0.04	18.393	0.058
0.704663	0.969505	588015510343385291	24.88	1.477	21.994	0.087	20.411	0.032	19.373	0.023	18.796	0.082
0.705161	1.008281	588015510343385837	23.57	2.09	22.838	0.391	21.816	0.227	20.878	0.172	19.909	0.267
0.705509	1.028668	588015510343385838	23.898	1.345	23.668	0.401	23.051	0.34	21.384	0.141	21.544	0.558
0.70575	0.987166	588015510343385275	24.291	1.423	21.786	0.071	20.447	0.034	19.44	0.026	18.841	0.05
0.708199	1.031027	588015510343385760	24.024	1.313	24.646	0.66	22.489	0.195	22.938	0.498	23.212	0.849
0.708525	1.034609	588015510343385581	26.525	0.583	22.84	0.194	21.389	0.086	21.281	0.137	20.79	0.321
0.708807	1.004442	588015510343385579	23.463	1.363	22.26	0.161	21.142	0.087	20.404	0.078	20.138	0.227
0.709203	0.974488	588015510343385585	24.541	1.575	22.587	0.153	21.452	0.079	21.243	0.114	20.757	0.273
0.709208	0.98787	588015510343385584	22.162	0.413	21.666	0.089	20.798	0.06	20.484	0.077	20.079	0.201
0.709498	1.018425	588015510343385242	20.225	0.064	19.482	0.013	19.02	0.013	18.916	0.017	18.831	0.05
0.709581	1.044739	588015510343385586	25.171	1.307	22.426	0.102	22.107	0.134	21.775	0.178	21.655	0.54
0.709631	0.979747	588015510343385761	22.606	0.574	23.69	0.468	22.111	0.172	22.044	0.279	21.869	0.787
0.710824	1.023697	588015510343450808	22.402	0.392	21.088	0.043	19.647	0.019	18.593	0.014	18.026	0.03
0.710838	0.963311	588015510343451539	24.569	1.509	24.368	0.58	25.717	0.521	24.857	0.803	20.659	0.239
0.711078	0.972986	588015510343450706	21.396	0.168	19.094	0.011	18.072	0.007	17.703	0.008	17.495	0.02
0.711315	1.006703	588015510343450905	24.919	1.44	22.909	0.195	23.566	0.433	22.825	0.427	23.249	0.814
0.711445	1.008619	588015510343451238	24.906	1.738	23.109	0.277	21.865	0.133	21.727	0.207	20.973	0.384
0.711781	1.032248	588015510343450907	25.424	1.158	22.67	0.16	21.171	0.061	20.275	0.049	20.061	0.151
0.711862	1.041436	588015510343450906	21.779	0.523	20.374	0.052	19.883	0.052	19.572	0.064	19.089	0.15
0.711882	0.966226	588015510343451540	24.08	2.089	24.378	0.937	26.156	0.636	25.613	0.823	19.868	0.186
0.712204	1.035513	588015510343450707	22.332	0.362	19.948	0.019	18.689	0.01	18.141	0.01	17.83	0.025
0.71361	0.985555	588015510343451239	23.058	0.915	23.268	0.353	22.175	0.189	22.151	0.331	21.696	0.771
0.714512	0.996423	588015510343450912	26.261	1.05	22.128	0.165	21.549	0.137	20.905	0.138	20.513	0.355
0.714516	0.988034	588015510343450913	22.396	0.454	22.769	0.203	21.218	0.072	20.841	0.091	20.826	0.331
0.715366	1.037026	588015510343450914	23.779	1.459	22.551	0.201	21.638	0.12	21.244	0.205	20.441	0.268
